item	ipip_id	WARMTH (16PF Factor A: Warmth) 	INTELLECT (Factor B: Reasoning) 	EMOTIONAL STABILITY (Factor C: Emotional Stability) 	ASSERTIVENESS (Factor E: Dominance) 	GREGARIOUSNESS (Factor F: Liveliness) 	DUTIFULNESS (Factor G: Rule-Consciousness) 	FRIENDLINESS (Factor H: Social Boldness) 	SENSITIVITY (Factor I: Sensitivity) 	DISTRUST (Factor L: Vigilance) 	IMAGINATION (Factor M: Abstractedness) 	RESERVE (Factor N: Privateness) 	ANXIETY (Factor O: Apprehension) 	COMPLEXITY (Factor Q1: Openness to Change) 	INTROVERSION (Factor Q2: Self-Reliance) 	ORDERLINESS (Factor Q3: Perfectionism) 	EMOTIONALITY (Factor Q4: Tension) 
Know how to get around the rules.	H1327	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0
Feel comfortable around people.	X112	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Talk to a lot of different people at parties.	X83	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Don't mind being the center of attention.	X78	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Make friends easily.	H29	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Start conversations.	H16	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Find it difficult to approach others.	H592	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0
Often feel uncomfortable around others.	H909	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0
Have little to say.	H1039	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0
Am quiet around strangers.	H661, X260	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0
Keep in the background.	H154, X34	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0
Like to read.	H2027	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Enjoy discussing movies and books with others.	E47	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Read a lot.	H2032	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Don't like action movies.	X119	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Cry during movies.	H2011	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Love flowers.	X140	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Do not enjoy watching dance performances.	X243	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0
Do not like poetry.	X45	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0
Dislike works of fiction.	X230	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0
Rarely notice my emotional reactions.	X10	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0
Find it hard to forgive others.	X210	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Suspect hidden motives in others.	H604	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Am wary of others.	H1001	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Distrust people.	H1195, X12	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Believe that people seldom tell you the whole truth.		0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Believe that people are essentially evil.	X80	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Trust what people say.	E157	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0
Trust others.	H113, X6	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0
Believe that others have good intentions.	H549	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0
Believe that people are basically moral.	X189	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0
Do things that others find strange.	H691	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Like to get lost in thought.	E163	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Enjoy wild flights of fantasy.	X238	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Love to daydream.	X71	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Swim against the current.	H690	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Take deviant positions.	H1090	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Do unexpected things.	H893	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Do things by the book.	H250	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0
Seldom daydream.	X135	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0
Seldom get lost in thought.	X175	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0
Reveal little about myself.	H601	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Am hard to get to know.	H596, X9	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Don't talk a lot.	X56	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Bottle up my feelings.	H1146	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Keep my thoughts to myself.	H588	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Am open about myself to others.	X85	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0
Am open about my feelings.	X148	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0
Disclose my intimate thoughts.	H2013	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0
Show my feelings.	H3, X25	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0
Am willing to talk about myself.	H9	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0
Am afraid that I will do the wrong thing.	H905	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Feel threatened easily.	H612	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Am easily hurt.	H987	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Worry about things.	H1157, X5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Spend time thinking about past mistakes.	E114	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"Feel guilty when I say ""no."""	E168	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Feel crushed by setbacks.	H643	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Don't worry about things that have already happened.	E150	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0
Am not easily bothered by things.	X138	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0
Don't let others discourage me.	H368	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0
Believe in the importance of art.	X123	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Love to think up new ways of doing things.	X225	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Enjoy hearing new ideas.	X166	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Carry the conversation to a higher level.	H1227	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Prefer variety to routine.	X204	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Avoid philosophical discussions.	X248	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0
Rarely look for a deeper meaning in things.	E77	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0
Am not interested in theoretical discussions.	X239	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0
Am not interested in abstract ideas.	X228	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0
Try to avoid complex people.	E171	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0
Want to be left alone.	H660	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Prefer to do things by myself.	H682	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Enjoy spending time by myself.	X88	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Seek quiet.	H602	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Don't mind eating alone.	E72	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Enjoy silence.	E94	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Enjoy my privacy.	E83	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Enjoy being part of a group.	H2016, V58	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0
Enjoy teamwork.	X271	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0
Can't do without the company of others.	H965	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0
"Want everything to be ""just right."""	E11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Get chores done right away.	E119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Like order.	X118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Continue until everything is perfect.	H286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Am exacting in my work.	X163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Am not bothered by messy people.	E100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0
Am not bothered by disorder.	E7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0
Leave a mess in my room.	H822, X16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0
Leave my belongings around.	H823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0
Put off unpleasant tasks.	E132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0
Get irritated easily.	H761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Get angry easily.	H754, X18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Am quick to judge others.	E65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Am annoyed by others' mistakes.	E82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Am easily put out.	H641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Can't stand being contradicted.	H292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Judge people by their appearance.	E69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Am not easily annoyed.	X23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1
Try to forgive and forget.	E126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1
Have a good word for everyone.	H22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1
