item	ipip_id	INTELLECTUAL COMPLEXITY (JPI: Complexity [Cpx]) 	INTELLECTUAL BREADTH (JPI: Breadth of Interest [Bdi]) 	INGENUITY (JPI: Innovation [Inv]) 	TOLERANCE (JPI: Tolerance [Tol]) 	EMPATHY (JPI: Empathy [Emp]) 	ANXIETY (JPI: Anxiety [Axy]) 	CONFORMITY (JPI: Cooperativeness [Cpr]) 	SOCIABILITY (JPI: Sociability [Soc]) 	SOCIAL-CONFIDENCE (JPI: Social Confidence [Scf]) 	ACTIVITY-LEVEL (JPI: Energy Level [Enl]) 	MACHIAVELLIANISM (JPI: Social Astuteness [Sas]) 	RISK-TAKING (JPI: Risk Taking [Rkt]) 	ORGANIZATION (JPI: Organization [Org]) 	TRADITIONALISM (JPI: Traditional Values [Trv]) 	RESPONSIBILITY (JPI: Responsibility [Rsy]) 
Have excellent ideas.	H1313	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Do not have a good imagination.	X272	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0
Have difficulty imagining things.	H1382, X7	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0
Will not probe deeply into a subject.	H1392, X54	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0
Can't come up with new ideas.	H1380	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0
Am open to change.	X62	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Believe in equality between all races.	P353	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Understand people who think differently.	H175	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Try to forgive and forget.	E126	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Sympathize with the homeless.	X259	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Hold a grudge.	X217	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0
Find it hard to forgive others.	X210	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0
Don't like the idea of change.	H910	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0
Believe in an eye for an eye.	X173	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0
Feel others' emotions.	E136	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Suffer from others' sorrows.	H988, X65	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Am deeply moved by others' misfortunes.	X253	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Am easily moved to tears.	H992	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Cry easily.	H2012	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Experience my emotions intensely.	X92	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Feel spiritally connected to other people.	P365	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Don't understand people who get emotional.	E156	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0
Am not interested in other people's problems.	X227	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0
Seldom get emotional.	X29	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0
Get stressed out easily.	X107	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Worry about things.	H1157, X5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Get upset easily.	X95	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Have frequent mood swings.	E92	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Often feel blue.	X74	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Am relaxed most of the time.	E141	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0
Am not easily bothered by things.	X138	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0
Rarely get irritated.	X265	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0
Seldom feel blue.	X156	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0
Am not easily frustrated.	X59	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0
Worry about what people think of me.	P420	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Conform to others' opinions.	H1056	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Need the approval of others.	H974	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Want to amount to something special in others' eyes.	P436	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Do what others do.	H1049	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Don't care what others think.	E134	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0
Am not concerned with making a good impression.	P397	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0
Feel it's OK that some people don't like me.	P354	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0
Want to form my own opinions.	H1221	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0
Want to be different from others.	H510	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0
Enjoy bringing people together.	X161	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Enjoy being part of a group.	H2016, V58	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Love to chat.	H1095	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Love surprise parties.	E55	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Am interested in people.	H21	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Prefer to be alone.	H587	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0
Seek quiet.	H602	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0
Keep others at a distance.	H704	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0
Am a very private person.	H589	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0
Don't like crowded events.	X99	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0
Feel comfortable around people.	X112	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Don't mind being the center of attention.	X78	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Am good at making impromptu speeches.	P364	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Express myself easily.	H17	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Have a natural talent for influencing people.	P432	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Hate being the center of attention.	P434	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0
Lack the talent for influencing people.	P346	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0
Often feel uncomfortable around others.	H909	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0
Don't like to draw attention to myself.	X68	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0
Have little to say.	H1039	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0
Can manage many things at the same time.	H457	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Am always busy.	H58	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Do a lot in my spare time.	H79	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Am always on the go.	H54, X40	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Accomplish a lot of work.	H554	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Need a push to get started.	H969	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0
Am easily discouraged.	H647	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0
Do too little work.	P385	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0
Hang around doing nothing.	H627	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0
Have a slow pace to my life.	P477	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0
Find it easy to manipulate others.	P407	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Can talk others into doing things.	H1137	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Find it difficult to manipulate others.	P461	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0
Enjoy being reckless.	E35	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Take risks.	H864	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Seek danger.	H894	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Know how to get around the rules.	H1327	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Am willing to try anything once.	X3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Seek adventure.	H446	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Would never go hang-gliding or bungee-jumping.	X250	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0
Would never make a high risk investment.	E71	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0
Stick to the rules.	H294	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0
Avoid dangerous situations.	H317	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0
Get chores done right away.	E119	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Make plans and stick to them.	X263	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Follow a schedule.	X179	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"Want everything to be ""just right."""	E11	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Like order.	X118	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Often forget to put things back in their proper place.	X82	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0
Waste my time.	H1186, X49	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0
Leave my belongings around.	H823	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0
Am not bothered by disorder.	E7	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0
Put off unpleasant tasks.	E132	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0
Believe in one true religion.	X35	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Tend to vote for conservative political candidates.	X126	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Am devoted to religion.	P479	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Guide my life using religious scriptures.	P458	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Like to stand during the national anthem.	X254	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Believe in sexual modesty.	P464	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Believe that we should be tough on crime.	X157	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Tend to vote for liberal political candidates.	X218	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0
Don't consider myself religious.	P488	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0
Doubt the value of religion.	P392	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0
Would never cheat on my taxes.	X136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Return extra change when a cashier makes a mistake.	E80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Would never take things that aren't mine.	P367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Stay in touch with old acquaintances.	E91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Think of others first.	H126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Cheat to get ahead.	X198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1
Don't think laws apply to me.	H579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1
Believe that I am better than others.	H736, X61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1
Disregard rules.	H88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1
Hurt people.	H1125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1
