item	ipip_id	JOYFULNESS (MPQ Wellbeing [WB]) 	POWER-SEEKING (MPQ Social Potency [SP]) 	ACHIEVEMENT-SEEKING (MPQ Achievement [AC]) 	FRIENDLINESS (MPQ Social Closeness [SC]) 	EMOTIONAL INSTABILITY (MPQ Stress Reaction [SR]) 	BELLIGERENCE (MPQ Aggression [AG]) 	DISTRUST (MPQ Alienation [AL]) 	PLANFULNESS (MPQ Control [CO]) 	RISK-AVOIDANCE (MPQ Harmavoidance [HA]) 	CONSERVATISM (MPQ Traditionalism [TR]) 	IMAGINATION (MPQ Absorption [AB]) 	UNLIKELY VIRTUES (MPQ Unlikely Virtues [UV]) 
Believe in one true religion.	X35	0	0	0	0	0	0	0	0	0	1	0	0
Believe laws should be strictly enforced.		0	0	0	0	0	0	0	0	0	1	0	0
Believe that we should be tough on crime.	X157	0	0	0	0	0	0	0	0	0	1	0	0
Like to stand during the national anthem.	X254	0	0	0	0	0	0	0	0	0	1	0	0
Tend to vote for liberal political candidates.	X218	0	0	0	0	0	0	0	0	0	-1	0	0
Don't consider myself religious.	P488	0	0	0	0	0	0	0	0	0	-1	0	0
Believe that criminals should receive help rather than punishment.	X219	0	0	0	0	0	0	0	0	0	-1	0	0
Believe in the importance of art.	X123	0	0	0	0	0	0	0	0	0	-1	0	0
Believe that there is no absolute right and wrong.	X184	0	0	0	0	0	0	0	0	0	-1	0	0
See beauty in things that others might not notice.	E105	0	0	0	0	0	0	0	0	0	0	1	0
Enjoy wild flights of fantasy.	X238	0	0	0	0	0	0	0	0	0	0	1	0
Like to get lost in thought.	E163	0	0	0	0	0	0	0	0	0	0	1	0
Love to reflect on things.	H1210	0	0	0	0	0	0	0	0	0	0	1	0
Have a vivid imagination.	X14	0	0	0	0	0	0	0	0	0	0	1	0
Love to daydream.	X71	0	0	0	0	0	0	0	0	0	0	1	0
Do not like poetry.	X45	0	0	0	0	0	0	0	0	0	0	-1	0
Do not like art.	X86	0	0	0	0	0	0	0	0	0	0	-1	0
Seldom get lost in thought.	X175	0	0	0	0	0	0	0	0	0	0	-1	0
Rarely look for a deeper meaning in things.	E77	0	0	0	0	0	0	0	0	0	0	-1	0
Always admit it when I make a mistake.	P454	0	0	0	0	0	0	0	0	0	0	0	1
Never give up hope.	X102	0	0	0	0	0	0	0	0	0	0	0	1
Know that anyone who tries can get a job.	X182	0	0	0	0	0	0	0	0	0	0	0	1
Always know why I do things.	P433	0	0	0	0	0	0	0	0	0	0	0	1
Never give up.	H556	0	0	0	0	0	0	0	0	0	0	0	1
Know immediately what to do.	H403	0	0	0	0	0	0	0	0	0	0	0	1
Believe there is never an excuse for lying.		0	0	0	0	0	0	0	0	0	0	0	1
Always know what I am doing.	P427	0	0	0	0	0	0	0	0	0	0	0	1
Am always ready to start afresh.	H440	0	0	0	0	0	0	0	0	0	0	0	1
Have never engaged in gossip.	P413	0	0	0	0	0	0	0	0	0	0	0	1
Will do anything for others.	H198	0	0	0	0	0	0	0	0	0	0	0	1
Am always prepared.	X87	0	0	0	0	0	0	0	0	0	0	0	1
Don't always practice what I preach.	P481	0	0	0	0	0	0	0	0	0	0	0	-1
Have some bad habits.	P478	0	0	0	0	0	0	0	0	0	0	0	-1
Have sometimes had to tell a lie.	P356	0	0	0	0	0	0	0	0	0	0	0	-1
Am not always honest with myself.	P490	0	0	0	0	0	0	0	0	0	0	0	-1
Am not always what I appear to be.	P447	0	0	0	0	0	0	0	0	0	0	0	-1
